 "area" , "num" ,
 "http://www.wikidata.org/entity/Q1050" , "28.9" ,
 "http://www.wikidata.org/entity/Q258" , "28.5" ,
 "http://www.wikidata.org/entity/Q760" , "27.0" ,
 "http://www.wikidata.org/entity/Q407199" , "24.8" ,
 "http://www.wikidata.org/entity/Q1037" , "24.2" ,
 "http://www.wikidata.org/entity/Q1030" , "23.9" ,
 "http://www.wikidata.org/entity/Q1020" , "22.5" ,
 "http://www.wikidata.org/entity/Q41" , "21.8" ,
 "http://www.wikidata.org/entity/Q221" , "21.0" ,
 "http://www.wikidata.org/entity/Q399" , "19.9" ,
