 "area" , "numM" , "numF" , "diff" ,
 "http://www.wikidata.org/entity/Q851" , "19.9" , "62.7" , "42.8" ,
 "http://www.wikidata.org/entity/Q796" , "21.7" , "62.8" , "41.1" ,
 "http://www.wikidata.org/entity/Q407199" , "36.8" , "69.1" , "32.3" ,
 "http://www.wikidata.org/entity/Q858" , "16.9" , "46.6" , "29.7" ,
 "http://www.wikidata.org/entity/Q1016" , "41.7" , "68.9" , "27.2" ,
 "http://www.wikidata.org/entity/Q810" , "30.5" , "55.7" , "25.2" ,
 "http://www.wikidata.org/entity/Q842" , "10.0" , "33.5" , "23.5" ,
 "http://www.wikidata.org/entity/Q817" , "9.1" , "28.4" , "19.3" ,
 "http://www.wikidata.org/entity/Q262" , "26.6" , "45.2" , "18.6" ,
 "http://www.wikidata.org/entity/Q794" , "24.4" , "42.3" , "17.9" ,
