Country	Winning films	Nominated films	Submitted films
Italy	14	31	66
France	12	40	66
Spain	4	20	62
Japan	4	16	66
Sweden	3	16	58
Denmark	3	12	57
Soviet Union	3	9	24
Netherlands	3	7	52
Germany	2	11	29
Hungary	2	10	55
Argentina	2	7	46
Czechoslovakia	2	6	23
Switzerland	2	5	47
Austria	2	4	43
Iran	2	3	25
Poland	1	12	51
Mexico	1	9	52
West Germany	1	8	29
Canada	1	7	45
Russia	1	7	27
Algeria	1	5	21
Taiwan	1	3	45
Czech Republic	1	3	26
Chile	1	2	24
South Africa	1	2	16
South Korea	1	1	31
Bosnia & Herzegovina	1	1	19
Ivory Coast	1	1	2
Israel	0	10	52
Belgium	0	7	44
Yugoslavia	0	6	29
Norway	0	5	41
Greece	0	5	39
Brazil	0	4	47
India	0	3	52
Hong Kong	0	2	38
China	0	2	33
United Kingdom	0	2	17
Lebanon	0	2	16
North Macedonia	0	2	16
Palestine	0	2	12
Iceland	0	1	40
Finland	0	1	33
Colombia	0	1	28
Peru	0	1	26
Cuba	0	1	21
Uruguay	0	1	19
Georgia	0	1	18
Estonia	0	1	17
Vietnam	0	1	15
Kazakhstan	0	1	14
Australia	0	1	13
Puerto Rico	0	1	12
Nepal	0	1	10
Cambodia	0	1	8
East Germany	0	1	5
Jordan	0	1	3
Nicaragua	0	1	3
Mauritania	0	1	1
Portugal	0	0	36
Romania	0	0	35
Egypt	0	0	34
Philippines	0	0	31
Bulgaria	0	0	30
Venezuela	0	0	29
Croatia	0	0	28
Serbia	0	0	26
Thailand	0	0	26
Turkey	0	0	26
Slovakia	0	0	23
Slovenia	0	0	23
Indonesia	0	0	21
Luxembourg	0	0	16
Bangladesh	0	0	15
Morocco	0	0	15
Afghanistan	0	0	14
Singapore	0	0	13
Albania	0	0	12
Dominican Republic	0	0	12
Kyrgyzstan	0	0	12
Lithuania	0	0	12
Ukraine	0	0	12
Bolivia	0	0	11
Latvia	0	0	11
Iraq	0	0	9
Pakistan	0	0	9
Armenia	0	0	8
Costa Rica	0	0	8
Ecuador	0	0	8
Azerbaijan	0	0	7
Ireland	0	0	6
Kosovo	0	0	6
Montenegro	0	0	6
New Zealand	0	0	6
Panama	0	0	6
Tunisia	0	0	6
Malaysia	0	0	5
Mongolia	0	0	5
Belarus	0	0	4
Ethiopia	0	0	4
Kenya	0	0	4
Paraguay	0	0	3
Saudi Arabia	0	0	3
Cameroon	0	0	2
Chad	0	0	2
Greenland	0	0	2
Guatemala	0	0	2
Honduras	0	0	2
Kuwait	0	0	2
Moldova	0	0	2
Senegal	0	0	2
Sri Lanka	0	0	2
Tajikistan	0	0	2
Yemen	0	0	2
Bhutan	0	0	1
Burkina Faso	0	0	1
Democratic Republic of the Congo	0	0	1
Fiji	0	0	1
Ghana	0	0	1
Haiti	0	0	1
Laos	0	0	1
Malawi	0	0	1
Malta	0	0	1
Mozambique	0	0	1
Niger	0	0	1
Nigeria	0	0	1
Syria	0	0	1
Tanzania	0	0	1
Uzbekistan	0	0	1
