Country	Score
Brazil	427
Poland	384
USA	365
Russia	317
Argentina	291
France	291
Italy	288
Iran	279
Japan	269
Canada	255
Serbia	248
Slovenia	218
Cuba	212
Bulgaria	193
Australia	174
Netherlands	169
Tunisia	168
Egypt	167
Belgium	164
Korea	161
Germany	155
Ukraine	140
Qatar	138
Cameroon	137
Mexico	136
China	136
Chile	134
Algeria	134
Turkey	132
Chinese Taipei	132
Spain	128
Venezuela	126
Finland	126
Colombia	123
Slovak Republic	119
Dominican Republic	119
Latvia	117
Thailand	117
Puerto Rico	115
Montenegro	115
Czech Republic	114
Romania	114
Denmark	112
Greece	112
Morocco	110
Sweden	108
Peru	108
Switzerland	108
Macedonia	108
Congo	108
Norway	107
Trinidad & Tobago	106
Portugal	106
Croatia	106
Belarus	106
Israel	105
Azerbaijan	101
Pakistan	100
Sri Lanka	100
Luxembourg	100
Congo Democratic Republic	99
Austria	99
Moldova	98
Iceland	99
Kazakhstan	96
Hungary	93
Albania	93
Estonia	93
Bosnia and Herzegovina	91
Indonesia	88
Ecuador	88
Guatemala	86
Burundi	86
Georgia	86
Surinam	84
Oman	83
Chad	80
India	74
Botswana	71
Hong Kong, China	67
Kuwait	65
Bolivia	64
New Zealand	60
Costa Rica	59
St. Lucia	59
St. Vincent & Grenadines	59
Barbados	58
Dominica	58
Haiti	58
Rwanda	58
Antigua & Barbuda	57
Bangladesh	57
Fiji	57
Jamaica	57
Kosovo	57
Kyrghyzstan	57
Libya	57
Macao, China	57
Maldives Islands	57
Myanmar	57
Northern Ireland	57
Tonga	57
United Arab Emirates	57
Uruguay	57
Vietnam	57
Anguilla	56
Bahamas	56
Dutch Antilles	56
Faroe Islands	56
Kenya	56
Mauritius	56
Niger	56
Nigeria	56
Scotland	56
St. Kitts & Nevis	56
Cyprus	56
Andorra	55
Aruba	55
Belize	55
Bermuda	55
British Virgin Islands	55
Cayman Islands	55
Côte d'Ivoire	55
El Salvador	55
Grenada	55
Honduras	55
Montserrat	55
Mozambique	55
Nicaragua	55
Panama	55
Paraguay	55
South Sudan	55
Swaziland	55
Uganda	55
Virgin Islands	55
Afghanistan	50
Angola	50
Armenia	50
Bahrain	50
Benin	50
Bhutan	50
Brunei Negara Darussalam	50
Burkina Faso	50
Cambodia	50
Cape Verde	50
Central African Republic	50
Cook Islands	50
Djibouti	50
East Timor	50
England	50
Equatorial Guinea	50
Eritrea	50
Ethiopia	50
French Guyana	50
French Polynesia	50
Gabon	50
Gambia	50
Gibraltar	50
Greenland	50
Guam	50
Guinea	50
Guinea-Bissau	50
Guyana	50
Iraq	50
Ireland	50
Jordan	50
Kiribati, Republic of	50
Korea PDR	50
Laos, D.P.R.	50
Lebanon	50
Lesotho	50
Liberia	50
Liechtenstein	50
Lithuania	50
Madagascar	50
Malawi	50
Malaysia	50
Mali	50
Malta	50
Marshall Islands	50
Mauritania, Islamic Rep. of	50
Micronesia	50
Monaco, Principality of	50
Mongolia	50
Namibia	50
Nauru, Republic of	50
Nepal	50
Niue Island	50
Northern Mariana Island	50
Palau	50
Palestine	50
Papua-New Guinea	50
Philippines	50
Samoa	50
Samoa, American	50
San Marino	50
Sao Tome and Principe	50
Saudi Arabia	50
Senegal	50
Seychelles	50
Sierra Leone	50
Singapore	50
Solomon Islands	50
Somalia	50
South Africa	50
Sudan	50
Syria	50
Tadjikistan	50
Tanzania	50
Togo	50
Turkmenistan	50
Tuvalu	50
Uzbekistan	50
Vanuatu	50
Wales	50
Yemen	50
Zambia	50
Zimbabwe	50
Ghana	43
