Country	Score
China	391
USA	382
Brazil	328
Italy	300
Turkey	285
Serbia	280
Japan	277
Russia	275
Dominican Republic	272
Korea	261
Netherlands	253
Germany	240
Poland	231
Belgium	207
Thailand	198
Puerto Rico	176
Argentina	174
Canada	173
Colombia	168
Bulgaria	160
Kazakhstan	157
Czech Republic	146
Kenya	141
Cameroon	134
Croatia	131
Azerbaijan	127
Mexico	126
Peru	125
Slovak Republic	123
Slovenia	122
Cuba	122
Venezuela	122
Greece	120
Ukraine	116
Algeria	116
Chinese Taipei	114
Australia	114
Romania	112
Egypt	110
Senegal	110
Bosnia and Herzegovina	109
Austria	109
Israel	108
Spain	108
Denmark	106
Cyprus	102
Guatemala	101
Hungary	101
Norway	100
Iceland	99
Montenegro	99
Latvia	98
France	98
India	97
Belarus	95
Bolivia	94
Hong Kong, China	93
Finland	93
Costa Rica	92
Albania	92
Switzerland	92
Ecuador	91
Iran	89
Georgia	87
Trinidad & Tobago	86
Indonesia	87
Estonia	86
Morocco	84
Sweden	82
Portugal	80
Sri Lanka	79
Uruguay	70
New Zealand	70
Korea PDR	64
Botswana	63
Vietnam	62
Fiji	60
Nicaragua	60
Dominica	59
Jamaica	59
St. Lucia	59
Tunisia	59
Antigua & Barbuda	58
St. Kitts & Nevis	58
Surinam	58
Chile	57
Dutch Antilles	57
Kosovo	57
Maldives Islands	57
Nepal	57
Bahamas	56
Bermuda	56
Congo Democratic Republic	56
Faroe Islands	56
Grenada	56
Liechtenstein	56
Luxembourg	56
Scotland	56
Uganda	56
Virgin Islands	56
Anguilla	55
Aruba	55
Barbados	55
British Virgin Islands	55
Cape Verde	55
Cayman Islands	55
Côte d'Ivoire	55
El Salvador	55
Ghana	55
Haiti	55
Honduras	55
Ireland	55
Northern Ireland	55
Panama	55
Rwanda	55
St. Vincent & Grenadines	55
Swaziland	55
Nigeria	50
Afghanistan	50
Andorra	50
Angola	50
Armenia	50
Bahrain	50
Bangladesh	50
Belize	50
Benin	50
Bhutan	50
Brunei Negara Darussalam	50
Burkina Faso	50
Burundi	50
Cambodia	50
Central African Republic	50
Chad	50
Congo	50
Cook Islands	50
Djibouti	50
East Timor	50
England	50
Equatorial Guinea	50
Eritrea	50
Ethiopia	50
French Guyana	50
French Polynesia	50
Gabon	50
Gambia	50
Gibraltar	50
Greenland	50
Guam	50
Guinea	50
Guinea-Bissau	50
Guyana	50
Iraq	50
Jordan	50
Kiribati, Republic of	50
Kuwait	50
Kyrghyzstan	50
Laos, D.P.R.	50
Lebanon	50
Lesotho	50
Liberia	50
Libya	50
Lithuania	50
Macao, China	50
Macedonia	50
Madagascar	50
Malawi	50
Malaysia	50
Mali	50
Malta	50
Marshall Islands	50
Mauritania, Islamic Rep. of	50
Mauritius	50
Micronesia	50
Moldova	50
Monaco, Principality of	50
Mongolia	50
Montserrat	50
Mozambique	50
Myanmar	50
Namibia	50
Nauru, Republic of	50
Niger	50
Niue Island	50
Northern Mariana Island	50
Oman	50
Pakistan	50
Palau	50
Palestine	50
Papua-New Guinea	50
Paraguay	50
Philippines	50
Qatar	50
Samoa	50
Samoa, American	50
San Marino	50
Sao Tome and Principe	50
Saudi Arabia	50
Seychelles	50
Sierra Leone	50
Singapore	50
Solomon Islands	50
Somalia	50
South Africa	50
South Sudan	50
Sudan	50
Syria	50
Tadjikistan	50
Tanzania	50
Togo	50
Tonga	50
Turkmenistan	50
Tuvalu	50
United Arab Emirates	50
Uzbekistan	50
Vanuatu	50
Wales	50
Yemen	50
Zambia	50
Zimbabwe	50
