Country	Summer Games	Winter Games	Combined Total
Afghanistan	2	0	2
Algeria	17	0	17
Argentina	74	0	74
Armenia	14	0	14
Australasia	12	0	12
Australia	497	15	512
Austria	87	232	319
Azerbaijan	42	0	42
Bahamas	14	0	14
Bahrain	3	0	3
Barbados	1	0	1
Belarus	78	18	96
Belgium	148	6	154
Bermuda	1	0	1
Bohemia	4	0	4
Botswana	1	0	1
Brazil	129	0	129
British West Indies	2	0	2
Bulgaria	218	6	224
Burundi	2	0	2
Cameroon	6	0	6
Canada	302	199	501
Chile	13	0	13
China	546	62	608
Colombia	28	0	28
Costa Rica	4	0	4
Ivory Coast	3	0	3
Croatia	33	11	44
Cuba	226	0	226
Cyprus	1	0	1
Czech Republic	56	31	87
Czechoslovakia	143	25	168
Denmark	194	1	195
Djibouti	1	0	1
Dominican Republic	7	0	7
Ecuador	2	0	2
Czechoslovakia 	32	0	32
Eritrea	1	0	1
Estonia	34	7	41
Ethiopia	54	0	54
Fiji	1	0	1
Finland	303	167	470
France	716	124	840
Gabon	1	0	1
Georgia	32	0	32
Germany	615	240	855
United Team of Germany	118	19	137
East Germany	409	110	519
West Germany	204	39	243
Ghana	4	0	4
Great Britain	851	32	883
Greece	116	0	116
Grenada	2	0	2
Guatemala	1	0	1
Guyana	1	0	1
Guyana	2	0	2
Hong Kong	3	0	3
Hungary	491	7	498
Iceland	4	0	4
India	28	0	28
Indonesia	32	0	32
Iran	69	0	69
Iraq	1	0	1
Ireland	31	0	31
Israel	9	0	9
Italy	577	124	701
Jamaica	78	0	78
Japan	439	58	497
Jordan	1	0	1
Kazakhstan	64	8	72
Kenya	103	0	103
Kosovo	1	0	1
North Korea	54	2	56
South Korea	267	70	337
Kuwait	2	0	2
Kyrgyzstan	4	0	4
Latvia	19	9	28
Lebanon	4	0	4
Liechtenstein	0	10	10
Lithuania	25	0	25
Luxembourg	2	2	4
Malaysia	11	0	11
Mauritius	1	0	1
Mexico	69	0	69
Moldova	5	0	5
Mongolia	26	0	26
Montenegro	1	0	1
Morocco	23	0	23
Mozambique	2	0	2
Namibia	4	0	4
Netherlands	285	130	415
Netherlands Antilles	1	0	1
New Zealand	117	3	120
Niger	2	0	2
Nigeria	25	0	25
North Macedonia	1	0	1
Norway	152	368	520
Pakistan	10	0	10
Panama	3	0	3
Paraguay	1	0	1
Peru	4	0	4
Philippines	10	0	10
Poland	284	22	306
Portugal	24	0	24
Puerto Rico	9	0	9
Qatar	5	0	5
Romania	306	1	307
Russia	426	121	547
Russian Empire	8	0	8
Soviet Union	1,01	194	1,204
Saudi Arabia	3	0	3
Samoa	1	0	1
Senegal	1	0	1
Serbia	15	0	15
Serbia and Montenegro	2	0	2
Singapore	5	0	5
Slovakia	28	8	36
Slovenia	23	17	40
South Africa	86	0	86
Spain	150	4	154
Sri Lanka	2	0	2
Sudan	1	0	1
Suriname	2	0	2
Sweden	494	158	652
Switzerland	192	153	345
Syria	3	0	3
Chinese Taipei	24	0	24
Tajikistan	4	0	4
Tanzania	2	0	2
Thailand	33	0	33
Togo	1	0	1
Tonga	1	0	1
Trinidad and Tobago	19	0	19
Tunisia	13	0	13
Turkey	91	0	91
Uganda	7	0	7
Ukraine	120	8	128
United Arab Emirates	2	0	2
United States	2,523	305	2,828
Uruguay	10	0	10
Uzbekistan	31	1	32
Venezuela	15	0	15
Vietnam	5	0	5
Virgin Islands	1	0	1
Yugoslavia	90	4	94
Zambia	2	0	2
Zimbabwe	8	0	8
