Country	Summer Paralympic Games	Winter Paralympic Games	Combined Total
Algeria	73	0	73
Angola	8	0	7
Argentina	156	0	156
Australia	1125	34	1159
Austria	345	332	677
Azerbaijan	38	0	37
Bahamas	5	0	5
Bahrain	7	0	8
Belarus	98	35	133
Belgium	221	2	223
Bosnia and Herzegovina	4	0	5
Botswana	1	0	1
Brazil	306	0	306
Bulgaria	15	0	15
Cape Verde	1	0	1
Canada	1059	163	1222
Chile	2	0	1
China	1033	1	1034
Chinese Taipei	22	0	24
Colombia	23	0	23
Ivory Coast	4	0	5
Croatia	19	2	21
Cuba	86	0	82
Cyprus	6	0	6
Czech Republic	129	15	144
Czechoslovakia	17	10	27
Denmark	277	6	283
Dominican Republic	1	0	1
Egypt	143	0	157
Estonia	19	1	20
Ethiopia	2	0	2
Faroe Islands	13	0	13
Fiji	1	0	1
Finland	257	182	443
France	949	171	1120
Georgia	1	0	1
Germany	1443	364	1807
East Germany	4	0	4
Great Britain	1789	34	1823
Greece	94	0	94
Guatemala	2	0	2
Hong Kong	104	0	110
Hungary	139	0	139
Iceland	61	0	61
Independent Paralympic Participants	8	0	8
India	12	0	12
Indonesia	18	0	10
Iran	137	0	137
Iraq	13	0	14
Ireland	226	0	226
Israel	380	0	383
Italy	530	61	574
Jamaica	54	0	55
Japan	362	90	462
Jordan	11	0	8
Kazakhstan	2	2	4
Kenya	47	0	47
Kuwait	43	0	43
Laos	1	0	1
Latvia	11	0	15
Lebanon	2	0	2
Libya	1	0	1
Liechtenstein	0	1	1
Lithuania	30	0	33
Luxembourg	7	0	7
Macedonia	2	0	2
Malaysia	10	0	10
Malta	9	0	8
Mexico	288	0	288
Moldova	2	0	2
Mongolia	1	0	3
Morocco	27	0	27
Mozambique	1	0	1
Myanmar	7	0	7
Namibia	8	0	8
Netherlands	714	17	725
Neutral Paralympic Athletes 	0	24	24
New Zealand	169	30	199
Nigeria	70	0	70
Norway	277	327	612
Pakistan	1	0	2
Palestine	3	0	3
Panama	8	0	8
Papua New Guinea	1	0	1
Peru	8	0	8
Philippines	2	0	2
Poland	626	45	671
Portugal	102	0	102
Puerto Rico	7	0	7
Qatar	2	0	2
Rhodesia	54	0	54
Romania	4	0	4
Russia	268	233	501
Rwanda	1	0	1
Saudi Arabia	4	0	4
Serbia	16	0	16
Serbia and Montenegro	2	0	2
Singapore	9	0	9
Slovakia	59	54	115
Slovenia	19	0	19
South Africa	297	0	297
South Korea	341	5	346
Soviet Union	55	2	57
Spain	661	41	684
Sri Lanka	2	0	2
Sudan	1	0	1
Sweden	637	100	737
Switzerland	246	156	402
Syria	1	0	1
Thailand	63	0	63
Trinidad and Tobago	3	0	6
Tunisia	83	0	83
Turkey	23	0	23
Uganda	1	0	1
Ukraine	374	112	486
Unified Team	51	21	72
United Arab Emirates	16	0	14
United States	2175	313	2367
Uruguay	15	0	15
Uzbekistan	32	0	32
Venezuela	17	0	16
Vietnam	4	0	4
Yugoslavia	70	1	71
Zimbabwe	17	0	17
