Country	Station Name	Period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
AFGHANISTAN, ISLAMIC STATE OF	Faiz abad	1961-1983	49.4	65.0	91.9	97.9	77.0	8.2	5.8	1.0	1.5	23.4	29.7	34.1
AFGHANISTAN, ISLAMIC STATE OF	Sheberghan	1959-1983	42.3	44.3	56.4	25.9	11.2	0.2	0.0	0.0	0.2	6.6	13.6	29.8
AFGHANISTAN, ISLAMIC STATE OF	Mazar-i-Sharif	1958-1983	28.9	34.8	43.8	28.3	11.2	0.2	0.0	0.0	0.1	3.9	13.5	21.7
AFGHANISTAN, ISLAMIC STATE OF	Kunduz	1968-1983	44.0	56.5	76.7	54.4	29.8	0.1	1.3	0.3	0.1	7.3	23.7	28.4
AFGHANISTAN, ISLAMIC STATE OF	Maimana	1964-1983	49.9	60.5	82.2	60.5	25.6	1.0	0.5	0.0	0.2	9.6	20.9	44.7
AFGHANISTAN, ISLAMIC STATE OF	North Salang	1959-1983	108.7	142.0	185.9	197.8	123.7	10.0	6.8	6.7	7.5	30.2	68.4	104.3
AFGHANISTAN, ISLAMIC STATE OF	Jabulsaraj	1964-1983	60.7	88.0	107.6	97.2	29.8	1.4	3.0	2.1	3.3	10.7	21.2	37.2
AFGHANISTAN, ISLAMIC STATE OF	Qalai naw	1962-1982	63.9	77.0	97.5	47.3	12.3	0.0	0.0	0.0	0.6	6.7	17.9	53.4
AFGHANISTAN, ISLAMIC STATE OF	Herat	1959-1983	51.6	44.8	55.1	29.2	9.8	0.0	0.0	0.0	0.0	1.7	10.9	35.8
AFGHANISTAN, ISLAMIC STATE OF	Chakhcharan	1964-1983	30.9	32.2	40.0	35.3	20.1	0.4	0.1	0.5	0.0	11.0	15.8	18.1
AFGHANISTAN, ISLAMIC STATE OF	Bamiyan	1969-1983	8.3	15.7	27.4	29.8	26.0	5.7	1.0	0.0	3.1	4.2	7.5	4.3
AFGHANISTAN, ISLAMIC STATE OF	Kabul	1956-1983	34.3	60.1	67.9	71.9	23.4	1.0	6.2	1.6	1.7	3.7	18.6	21.6
AFGHANISTAN, ISLAMIC STATE OF	Jalal Abad	1964-1983	18.1	24.3	39.2	36.4	16.0	1.4	6.9	7.7	8.3	3.2	8.3	12.1
AFGHANISTAN, ISLAMIC STATE OF	Ghazni	1958-1983	40.2	53.9	70.9	49.9	19.7	1.9	14.1	4.7	0.5	4.1	11.3	25.8
AFGHANISTAN, ISLAMIC STATE OF	Gardiz	1970-1983	35.8	61.7	65.5	50.4	21.7	4.8	15.8	7.5	0.9	5.8	12.4	33.2
AFGHANISTAN, ISLAMIC STATE OF	Khost	1972-1983	25.9	53.6	61.8	65.2	39.8	21.6	75.9	62.0	30.5	7.7	11.6	20.9
AFGHANISTAN, ISLAMIC STATE OF	Farah	1960-1983	24.3	22.8	22.5	8.5	2.0	0.0	0.0	0.0	0.1	1.3	3.3	10.3
AFGHANISTAN, ISLAMIC STATE OF	Trinkot	1960-1983	48.9	61.7	62.2	18.3	8.0	0.0	1.4	0.0	0.0	4.8	12.6	30.3
AFGHANISTAN, ISLAMIC STATE OF	Zaranj	1960-1983	19.7	9.9	11.2	2.4	0.6	0.0	0.0	0.0	0.0	1.2	1.4	5.1
